doc_id,source_text,department
IT_1,This is a confidential document for IT department. It contains important information regarding internal policies. Please review carefully. Document ID: IT_1. End of document.,IT
IT_2,This is a confidential document for IT department. It contains important information regarding internal policies. Please review carefully. Document ID: IT_2. End of document.,IT
HR_3,This is a confidential document for HR department. It contains important information regarding internal policies. Please review carefully. Document ID: HR_3. End of document. Visit https://internal.portal for more info.,HR
Admin_4,This is a confidential document for Admin department. It contains important information regarding internal policies. Please review carefully. Document ID: Admin_4. End of document.,Admin
IT_5,This is a confidential document for IT department. It contains important information regarding internal policies. Please review carefully. Document ID: IT_5. End of document.,IT
IT_6,This is a confidential document for IT department. It contains important information regarding internal policies. Please review carefully. Document ID: IT_6. End of document. Visit https://internal.portal for more info.,IT
Finance_7,This is a confidential document for Finance department. It contains important information regarding internal policies. Please review carefully. Document ID: Finance_7. End of document.,Finance
HR_8,This is a confidential document for HR department. It contains important information regarding internal policies. Please review carefully. Document ID: HR_8. End of document.,HR
HR_9,This is a confidential document for HR department. It contains important information regarding internal policies. Please review carefully. Document ID: HR_9. End of document. Visit https://internal.portal for more info.,HR
HR_10,This is a confidential document for HR department. It contains important information regarding internal policies. Please review carefully. Document ID: HR_10. End of document.,HR
HR_11,This is a confidential document for HR department. It contains important information regarding internal policies. Please review carefully. Document ID: HR_11. End of document.,HR
Finance_12,This is a confidential document for Finance department. It contains important information regarding internal policies. Please review carefully. Document ID: Finance_12. End of document. Visit https://internal.portal for more info.,Finance
Finance_13,This is a confidential document for Finance department. It contains important information regarding internal policies. Please review carefully. Document ID: Finance_13. End of document.,Finance
Finance_14,This is a confidential document for Finance department. It contains important information regarding internal policies. Please review carefully. Document ID: Finance_14. End of document.,Finance
Admin_15,This is a confidential document for Admin department. It contains important information regarding internal policies. Please review carefully. Document ID: Admin_15. End of document. Visit https://internal.portal for more info.,Admin
HR_16,This is a confidential document for HR department. It contains important information regarding internal policies. Please review carefully. Document ID: HR_16. End of document.,HR
Admin_17,This is a confidential document for Admin department. It contains important information regarding internal policies. Please review carefully. Document ID: Admin_17. End of document.,Admin
Finance_18,This is a confidential document for Finance department. It contains important information regarding internal policies. Please review carefully. Document ID: Finance_18. End of document. Visit https://internal.portal for more info.,Finance
HR_19,This is a confidential document for HR department. It contains important information regarding internal policies. Please review carefully. Document ID: HR_19. End of document.,HR
Admin_20,This is a confidential document for Admin department. It contains important information regarding internal policies. Please review carefully. Document ID: Admin_20. End of document.,Admin
